RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
102001,0,United States,country,,263267.0,271267.0,276633.0,280000.0,280300.0,279633.0,279600.0,279300.0,278933.0,277300.0,275967.0,276633.0,281300.0,287967.0,294567.0,297900.0,298900.0,297000.0,294833.0,292133.0,290467.0,287933.0,284933.0,285233.0,289600.0,295633.0,299000.0,303967.0,309300.0,314300.0,315300.0,315300.0,313633.0,309967.0,304967.0,307967.0,314667.0,326333.0,333333.0,339407.0,341073.0,340740.0,339667.0,339633.0,338300.0,333600.0,330300.0,335267.0,346633.0,362967.0,376300.0,387967.0,393300.0,393300.0,391300.0,386633.0,381667.0,375733.0,371900.0,371900.0,374833.0,383107.0,391107.0,397607.0,399167.0,397833.0,396333.0,393300.0,389967.0,384633.0,381000.0,381000.0,386000.0,392967.0
394913,1,"New York, NY",msa,NY,503000.0,513000.0,521300.0,526300.0,528300.0,526600.0,526267.0,527600.0,529000.0,527667.0,524667.0,524667.0,528000.0,537667.0,544333.0,549000.0,547667.0,544333.0,544333.0,545667.0,549000.0,549300.0,549300.0,549300.0,552333.0,555967.0,559300.0,561300.0,566333.0,574967.0,584967.0,592967.0,597967.0,599600.0,596600.0,594967.0,594667.0,597667.0,598667.0,595633.0,589267.0,579600.0,574633.0,574333.0,576333.0,576333.0,576667.0,584550.0,592550.0,603550.0,610667.0,617667.0,613330.0,606330.0,599663.0,606333.0,612999.0,619333.0,619333.0,624667.0,634967.0,647967.0,662633.0,672333.0,679000.0,676000.0,679333.0,684667.0,693000.0,693300.0,689967.0,691300.0,694333.0,699333.0
753899,2,"Los Angeles, CA",msa,CA,721333.0,735000.0,743333.0,750000.0,749667.0,742967.0,736267.0,728267.0,724633.0,719667.0,711300.0,711600.0,716267.0,732633.0,742667.0,752933.0,756567.0,759233.0,758967.0,758667.0,762333.0,765667.0,767667.0,771298.0,779965.0,787965.0,794333.0,802333.0,816000.0,826000.0,829633.0,831300.0,838294.0,844661.0,849327.0,849296.0,849629.0,856296.0,864667.0,874667.0,874667.0,866333.0,856333.0,850000.0,850000.0,850000.0,856633.0,871633.0,888263.0,904963.0,916596.0,924967.0,920633.0,910333.0,901667.0,897667.0,894333.0,887667.0,882633.0,885967.0,892967.0,916000.0,942667.0,975333.0,992300.0,998967.0,999633.0,999567.0,999233.0,995567.0,991667.0,992000.0,995633.0,1015967.0
394463,3,"Chicago, IL",msa,IL,284600.0,294600.0,300600.0,302267.0,301967.0,297933.0,296117.0,292783.0,288483.0,283333.0,280000.0,284300.0,291267.0,301267.0,306300.0,309467.0,306465.0,302798.0,298998.0,295633.0,290967.0,284933.0,281633.0,284967.0,291633.0,297967.0,299600.0,301300.0,304633.0,307667.0,309300.0,306300.0,303267.0,298267.0,296567.0,299900.0,304933.0,309966.0,311666.0,313333.0,313000.0,307967.0,302933.0,299263.0,295930.0,289263.0,284933.0,287967.0,297667.0,309300.0,317967.0,323300.0,324967.0,322967.0,319967.0,314967.0,308600.0,302933.0,299300.0,302167.0,308833.0,319133.0,329500.0,336500.0,339867.0,339967.0,339633.0,336300.0,331333.0,324967.0,321633.0,323300.0,329967.0,339967.0
394514,4,"Dallas, TX",msa,TX,322997.0,328497.0,331797.0,332800.0,329502.0,324202.0,321168.0,318966.0,317633.0,315999.0,313333.0,313667.0,316967.0,323633.0,328467.0,330133.0,328467.0,324966.0,321633.0,319933.0,319600.0,317967.0,314667.0,313633.0,315267.0,318600.0,321633.0,325633.0,330600.0,333233.0,334267.0,332633.0,331600.0,328600.0,328559.0,330293.0,335926.0,342633.0,350967.0,359667.0,367829.0,371159.0,373159.0,373330.0,376633.0,378300.0,381633.0,388000.0,394667.0,407333.0,419330.0,432663.0,438297.0,434967.0,428300.0,419000.0,410667.0,403667.0,398000.0,396667.0,400150.0,411813.0,426480.0,438330.0,441667.0,440000.0,435000.0,430000.0,426356.0,422356.0,417356.0,414333.0,416633.0,424633.0
394692,5,"Houston, TX",msa,TX,294467.0,297933.0,299633.0,299933.0,299633.0,297800.0,296165.0,293132.0,291632.0,289933.0,288300.0,289965.0,292665.0,297632.0,299300.0,299933.0,298966.0,295633.0,292316.0,289316.0,287650.0,286000.0,283333.0,284333.0,287666.0,293166.0,297133.0,301132.0,303966.0,307299.0,309967.0,313275.0,314308.0,314308.0,313666.0,315999.0,317666.0,323000.0,327667.0,332667.0,334667.0,333333.0,333333.0,333233.0,333233.0,331233.0,328000.0,328000.0,333650.0,343650.0,356317.0,364167.0,367500.0,364500.0,358000.0,352997.0,349663.0,347122.0,343792.0,342425.0,344933.0,351567.0,358267.0,364633.0,367667.0,366000.0,362967.0,358300.0,354967.0,351667.0,349983.0,349983.0,352983.0,358000.0
395209,6,"Washington, DC",msa,VA,405633.0,419967.0,433267.0,439933.0,439933.0,434933.0,428300.0,423300.0,420000.0,411633.0,404633.0,405633.0,415667.0,430967.0,441600.0,448233.0,448233.0,443233.0,442083.0,440450.0,441783.0,435967.0,430967.0,433000.0,443300.0,454967.0,461633.0,466667.0,471633.0,471600.0,467479.0,461049.0,456049.0,447137.0,438600.0,436967.0,443333.0,458333.0,468333.0,476633.0,474967.0,471633.0,470000.0,471667.0,469667.0,457967.0,449600.0,456267.0,476300.0,501333.0,521333.0,533083.0,533083.0,526717.0,523300.0,521633.0,518300.0,509800.0,503100.0,506433.0,523267.0,543297.0,559963.0,568297.0,571300.0,564667.0,562667.0,559633.0,559300.0,546267.0,536300.0,536600.0,551633.0,574633.0
394974,7,"Philadelphia, PA",msa,PA,225500.0,234133.0,242467.0,249967.0,251667.0,251633.0,249933.0,249600.0,247300.0,242333.0,236000.0,234333.0,239000.0,248967.0,259600.0,266600.0,269933.0,268300.0,268267.0,268267.0,268233.0,263233.0,256600.0,256600.0,261600.0,269266.0,275800.0,284133.0,291467.0,293267.0,291300.0,289300.0,287667.0,283000.0,276633.0,273300.0,274967.0,284667.0,292967.0,299600.0,299600.0,297967.0,297300.0,294300.0,290933.0,283267.0,278267.0,277883.0,285917.0,297583.0,309333.0,316333.0,318000.0,314967.0,311600.0,308233.0,304900.0,298263.0,293297.0,291663.0,295000.0,303333.0,313300.0,321633.0,323300.0,321633.0,321633.0,323300.0,323000.0,314667.0,306333.0,305000.0,313333.0,329150.0
394856,8,"Miami, FL",msa,FL,366600.0,368267.0,371067.0,372367.0,372367.0,369267.0,367967.0,366333.0,367667.0,367833.0,366167.0,363167.0,361667.0,364667.0,368500.0,371833.0,373833.0,375000.0,374967.0,374933.0,374933.0,374967.0,374967.0,374367.0,374367.0,374400.0,373333.0,373300.0,371633.0,373133.0,373166.0,376467.0,377967.0,377967.0,375333.0,374000.0,375633.0,381600.0,389600.0,397967.0,408000.0,416667.0,423333.0,426667.0,431667.0,439667.0,446300.0,452967.0,463300.0,480000.0,503333.0,526333.0,543000.0,546300.0,546300.0,545967.0,549000.0,549000.0,545667.0,542633.0,541300.0,544967.0,548333.0,550000.0,550000.0,550000.0,550000.0,550000.0,550000.0,549967.0,544967.0,537967.0,529667.0,524667.0
394347,9,"Atlanta, GA",msa,GA,280600.0,289900.0,296600.0,299633.0,297000.0,292000.0,288667.0,284667.0,283000.0,279666.0,277966.0,279600.0,283733.0,292100.0,299767.0,304540.0,304507.0,301540.0,298967.0,296667.0,294633.0,291933.0,290600.0,291300.0,294333.0,297667.0,299333.0,303000.0,308333.0,313333.0,316333.0,314667.0,312333.0,307667.0,307638.0,309971.0,316638.0,326667.0,338300.0,346633.0,349933.0,348883.0,348883.0,348883.0,349933.0,347567.0,346133.0,346167.0,351833.0,362050.0,375350.0,387383.0,391933.0,388600.0,381600.0,376600.0,371633.0,366600.0,359967.0,358267.0,361600.0,369900.0,379933.0,389633.0,394667.0,394633.0,391300.0,387633.0,382667.0,377967.0,374933.0,374933.0,376633.0,381333.0
